"Table 379-0030 Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), provinces and territories, annual (dollars x 1,000,000)(1,2,60,63,64)",,,,,,,
Survey or program details:,,,,,,,
Gross Domestic Product by Industry - Provincial and Territorial (Annual) - 1303,,,,,,,
Geography,Value,North American Industry Classification System (NAICS),2013,2014,2015,2016,2017
Quebec,Chained (2007) dollars,Repair and maintenance [811],2307,2409.8,2478.9,2556.9,2549.9
Quebec,Chained (2007) dollars,Personal services and private households [81A]  (55),2018.3,2014.6,2032.6,2041,2085.3
Quebec,Chained (2007) dollars,"Religious, grant-making, civic, and professional and similar organizations [813]",2140.3,2202.7,2163.5,2175.9,2196.7
Quebec,Chained (2007) dollars,Federal government public administration [911],7254.9,7400,7400.2,7480.6,7585.9
Quebec,Chained (2007) dollars,Provincial and territorial public administration [912],7888.7,7784.4,7435.9,7514.7,7633.7
Quebec,Chained (2007) dollars,"Local, municipal, regional and aboriginal public administration [91A]  (59)",7285.8,7161.8,7013.4,7268.1,7510.6
Ontario,Chained (2007) dollars,"Information and communication technology, manufacturing [T014]  (10)",1967.8,1871.1,1910.2,1949.4,1946.2
Ontario,Chained (2007) dollars,"Information and communication technology, services [T015]  (11)",27583,28672.6,29591.5,31018.3,33153.6
Ontario,Chained (2007) dollars,Crop and animal production [11A]  (13),4184.1,4041,4179.7,4130.2,4201.6
Ontario,Chained (2007) dollars,Forestry and logging [113],359.6,385.7,408,420.8,409.2
Ontario,Chained (2007) dollars,"Fishing, hunting and trapping [114]",22.7,21.7,22.3,22.9,20.9
Ontario,Chained (2007) dollars,Support activities for agriculture and forestry [115],473.6,407.8,443.6,448.9,454.7
Ontario,Chained (2007) dollars,Oil and gas extraction [211],44.6,40.1,38.6,96.7,101.9
Ontario,Chained (2007) dollars,Mining and quarrying (except oil and gas) [212],7169.4,7405,7424.4,7317.8,7162.3
Ontario,Chained (2007) dollars,Support activities for mining and oil and gas extraction [213],1378.1,1029,696.7,553.2,553.9
Ontario,Chained (2007) dollars,"Electric power generation, transmission and distribution [2211]",8428.5,8815.1,8570.7,8853.7,8846.4
Ontario,Chained (2007) dollars,"Natural gas distribution, water, sewage and other systems [221A]  (19)",3053.1,3244.4,3128.4,3012.1,2988.4
Ontario,Chained (2007) dollars,Residential building construction [23A]  (20),14064.9,14213.9,15265.7,16319.2,17269.2
Ontario,Chained (2007) dollars,Non-residential building construction [23B]  (20),5882.5,5833.7,6197.6,6076.1,6213.8
Ontario,Chained (2007) dollars,Engineering construction [23C]  (20),6216.4,6585,6527.3,6096.3,6332.5
Ontario,Chained (2007) dollars,Repair construction [23D]  (20),8339.1,8566.6,8845.1,8956.8,9390.1
Ontario,Chained (2007) dollars,Other activities of the construction industry [23E]  (20),795.6,858.3,901.1,913.1,951.1
Ontario,Chained (2007) dollars,Food manufacturing [311],8919.8,9481.2,9505.1,9932.5,10469
Ontario,Chained (2007) dollars,Beverage and tobacco product manufacturing [312],2454.9,2450.8,2501.3,2535.7,2632.9
Ontario,Chained (2007) dollars,Textile and textile product mills [31A]  (23),508.7,522.4,540.1,522.8,523.8
Ontario,Chained (2007) dollars,Clothing and leather and allied product manufacturing [31B]  (24),337.7,363.6,366.9,372,402.7
Ontario,Chained (2007) dollars,Wood product manufacturing [321],1195.4,1303.6,1468.4,1596.6,1731.1
Ontario,Chained (2007) dollars,Paper manufacturing [322],2367,2284.7,2460.3,2396.3,2458.5
Ontario,Chained (2007) dollars,Printing and related support activities [323],2271.2,2213.9,2176.9,2150.4,2156.8
Ontario,Chained (2007) dollars,Petroleum and coal product manufacturing [324],1531.5,1585.1,1517.5,1427.1,1504.8
Ontario,Chained (2007) dollars,Chemical manufacturing [325],6586.3,6319.9,6585,6764.5,6704.3
Ontario,Chained (2007) dollars,Plastics and rubber products manufacturing [326],4327.5,4571.6,4769.5,5117.8,5356.7
Ontario,Chained (2007) dollars,Non-metallic mineral product manufacturing [327],2406.8,2415.6,2322.2,2366,2631.1
Ontario,Chained (2007) dollars,Primary metal manufacturing [331],5405,6083,5607.6,5811.5,5906.3
Ontario,Chained (2007) dollars,Fabricated metal product manufacturing [332],5789.5,5699.8,5639,5426.2,5574.3
Ontario,Chained (2007) dollars,Machinery manufacturing [333],5792.4,6023.2,6537.3,6520.9,7474.9
Ontario,Chained (2007) dollars,Computer and electronic product manufacturing [334],3168.7,3167.4,3172.5,3171.2,3190.7
Ontario,Chained (2007) dollars,"Electrical equipment, appliance and component manufacturing [335]",1760.2,1592.3,1587.1,1550.8,1513.9
Ontario,Chained (2007) dollars,Transportation equipment manufacturing [336],17492.1,19030.2,19375.5,20001.9,18996.7
Ontario,Chained (2007) dollars,Furniture and related product manufacturing [337],1920.6,1867.7,1912.8,2037.2,1916.9
Ontario,Chained (2007) dollars,Miscellaneous manufacturing [339],1693.8,1566.3,1735.9,1774.6,1556.8
Ontario,Chained (2007) dollars,Farm product wholesaler-distributors [411],350.4,326.6,356.2,359.1,353.2
Ontario,Chained (2007) dollars,Petroleum product wholesaler-distributors [412],1709.4,1751,1812.1,1821.3,1821
Ontario,Chained (2007) dollars,"Food, beverage and tobacco wholesaler-distributors [413]",4113.5,4270.7,4282.7,4416.2,4575.5
Ontario,Chained (2007) dollars,Personal and household goods wholesaler-distributors [414],6495,6942.2,7174.4,7234.9,7947.9
Ontario,Chained (2007) dollars,Motor vehicle and parts wholesaler-distributors [415],3687.9,4108.1,4360.5,4486.3,4782
Ontario,Chained (2007) dollars,Building material and supplies wholesaler-distributors [416],5539.8,5582.2,5968.4,6152.1,6327.8
Ontario,Chained (2007) dollars,"Machinery, equipment and supplies wholesaler-distributors [417]",11622.3,11031,11235,11676.9,12865
Ontario,Chained (2007) dollars,Miscellaneous wholesaler-distributors [418],5071.8,5449,5925.8,6133.4,6724.3
Ontario,Chained (2007) dollars,"Wholesale electronic markets, and agents and brokers [419]",1411,1376.2,1424.3,1437.2,1520.9
Ontario,Chained (2007) dollars,Motor vehicle and parts dealers [441],4067.8,4204.4,4731.8,5136,5379.7
Ontario,Chained (2007) dollars,Furniture and home furnishings stores [442],1449.8,1445,1524.6,1607.4,1719.9
Ontario,Chained (2007) dollars,Electronics and appliance stores [443],1675.2,1591,1608.4,1675.8,2005.9
Ontario,Chained (2007) dollars,Building material and garden equipment and supplies dealers [444],1939.5,2110.8,2195.2,2304.2,2517.8
Ontario,Chained (2007) dollars,Food and beverage stores [445],5932.4,5585.4,5694.6,5805.9,5893.7
Ontario,Chained (2007) dollars,Health and personal care stores [446],3423.3,3460.4,3574.6,3749.8,4019.8
Ontario,Chained (2007) dollars,Gasoline stations [447],1802.6,1689.8,1757.7,1810.8,1845.2
Ontario,Chained (2007) dollars,Clothing and clothing accessories stores [448],3575.8,3603,3870.1,4119.8,4529.9
Ontario,Chained (2007) dollars,"Sporting goods, hobby, book and music stores [451]",1081,1063.1,1108.5,1127.5,1257.1
Ontario,Chained (2007) dollars,General merchandise stores [452],4096.6,4224.8,4185.2,4079.6,4282.1
Ontario,Chained (2007) dollars,Miscellaneous store retailers [453],1097.3,1049.9,1114.9,1231.4,1232.1
Ontario,Chained (2007) dollars,Non-store retailers [454],999.8,1081.2,1298.5,1445.7,1489.1
Ontario,Chained (2007) dollars,Air transportation [481],1952.7,2392.1,2720.3,3051.5,3373.1
Ontario,Chained (2007) dollars,Rail transportation [482],1671.6,1819.9,1886.4,1838.6,1878.1
Ontario,Chained (2007) dollars,Water transportation [483],238.1,227.3,241,242.9,255.5
Ontario,Chained (2007) dollars,Truck transportation [484],5912.5,6334.5,6613.9,6842.1,7042.1
Ontario,Chained (2007) dollars,"Transit, ground passenger and scenic and sightseeing transportation [48Z]  (31)",2891.8,2973.8,2991.2,2946,2993.9
Ontario,Chained (2007) dollars,Support activities for transportation [488],4836.4,5226.9,5529.8,5939.4,6191.1
Ontario,Chained (2007) dollars,Pipeline transportation [486],630.2,730,718.6,720.4,699.3
Ontario,Chained (2007) dollars,"Postal service, couriers and messengers [49A]  (34)",3470,3333,3265.7,3175.2,3269.3
Ontario,Chained (2007) dollars,Warehousing and storage [493],878.2,916.4,926.3,1047.2,1103.4
Ontario,Chained (2007) dollars,Publishing industries (except internet) [511],4180.7,4674,4544.7,4469.6,4843.5
Ontario,Chained (2007) dollars,Motion picture and sound recording industries [512],1620.3,2121.6,2338.3,2614.2,2640.8
Ontario,Chained (2007) dollars,Broadcasting (except internet) [515],1927.3,1830.9,1806.9,1715.8,1700.9
Ontario,Chained (2007) dollars,Telecommunications [517],11414.3,11407.1,11408.5,11442.1,11546.8
Ontario,Chained (2007) dollars,"Data processing, hosting, and related services [518]",1059.6,1106.1,1016.9,1117.6,1170.6
Ontario,Chained (2007) dollars,Other information services [519],1063.7,1189.2,1201.4,1235.3,1313.6
Ontario,Chained (2007) dollars,Depository credit intermediation and monetary authorities [52B]  (37),27632,28464.3,30010.6,31610.9,32935.4
Ontario,Chained (2007) dollars,Non-depository credit intermediation [5222],2935.5,3029.3,3228.1,3557,3719.9
Ontario,Chained (2007) dollars,Activities related to credit intermediation [5223],1132.8,1225,1305,1329.9,1287.8
Ontario,Chained (2007) dollars,Insurance carriers and related activities [524],13582.6,13924.4,14197.9,14558.8,14801.4
Ontario,Chained (2007) dollars,"Financial investment services, funds and other financial vehicles [52A]  (39)",9353.7,10178.1,11066.2,11654.2,11837.2
Ontario,Chained (2007) dollars,Real estate [531],73936.8,75410,78127.9,80977.1,82537.1
Ontario,Chained (2007) dollars,Rental and leasing services [532],4057.9,3870.9,4046.9,4146.4,4436.3
Ontario,Chained (2007) dollars,Lessors of non-financial intangible assets (except copyrighted works) [533],824.1,767,839.7,852.7,835.3
Ontario,Chained (2007) dollars,"Legal, accounting and related services [541A]  (44)",9567.7,9623.7,9783.7,10016,10056.5
Ontario,Chained (2007) dollars,"Architectural, engineering and related services [5413]",5222,5424.3,5797.2,5965.6,6429.8
Ontario,Chained (2007) dollars,"Other professional, scientific and technical services including scientific research and development [541B]  (45)",9215.6,9638.4,10101.2,10113.3,10019.7
Ontario,Chained (2007) dollars,Computer systems design and related services [5415],9863.1,10519,11338,12413,13612.8
Ontario,Chained (2007) dollars,"Advertising, public relations, and related services [5418]",2139.2,2476.9,2653.7,2589.3,2589.4
Ontario,Chained (2007) dollars,Administrative and support services [561],16671.3,17395.2,17207.1,17360.5,17501.8
Ontario,Chained (2007) dollars,Waste management and remediation services [562],2060.1,2208.5,2281.3,2309.5,2292.4
Ontario,Chained (2007) dollars,Universities [6113],12061.1,12656.3,13090.9,13619.7,13757.2
Ontario,Chained (2007) dollars,Educational services (except universities) [611B]  (47),22509.2,22625.2,22772,22837.1,23007.8
Ontario,Chained (2007) dollars,Health care [62X]  (49),35012.2,35281.8,35963.2,37105.7,37921
Ontario,Chained (2007) dollars,Social assistance [624],4070.2,4279.2,4483.3,4769.7,4869
Ontario,Chained (2007) dollars,"Performing arts, spectator sports and related industries, and heritage institutions [71A]  (51)",2111.5,2273.2,2398.8,2490.5,2584.4
Ontario,Chained (2007) dollars,"Amusement, gambling and recreation industries [713]",2250.4,2342.1,2559.9,2748,2826.9
Ontario,Chained (2007) dollars,Accommodation services [721],2931.5,2941.2,2950.2,3057.8,3107.5
Ontario,Chained (2007) dollars,Food services and drinking places [722],8493.2,9162.8,9538.8,9892,10214.6
Ontario,Chained (2007) dollars,Repair and maintenance [811],3624.9,3872.9,4088.4,4259.2,4286.8
Ontario,Chained (2007) dollars,Personal services and private households [81A]  (55),3452.6,3470.4,3513.8,3550.9,3614
Ontario,Chained (2007) dollars,"Religious, grant-making, civic, and professional and similar organizations [813]",4468,4715,4534.7,4249.5,4257.7
Ontario,Chained (2007) dollars,Federal government public administration [911],18554.3,18184,18253.7,18526.3,18706.4
Ontario,Chained (2007) dollars,Provincial and territorial public administration [912],7704.3,7818.1,8016,8173.1,8413.1
Ontario,Chained (2007) dollars,"Local, municipal, regional and aboriginal public administration [91A]  (59)",14966.2,14811.3,14847.3,14996.3,15511.9
Manitoba,Chained (2007) dollars,"Information and communication technology, manufacturing [T014]  (10)",44.2,43.3,39.1,42.2,32.2
Manitoba,Chained (2007) dollars,"Information and communication technology, services [T015]  (11)",1645.6,1640,1617.8,1620.3,1664.5
Manitoba,Chained (2007) dollars,Crop and animal production [11A]  (13),2040.6,1659.2,1802.8,1852.2,2013.3
Manitoba,Chained (2007) dollars,Forestry and logging [113],27.4,28.2,27.4,24.8,24.6
Manitoba,Chained (2007) dollars,"Fishing, hunting and trapping [114]",5.2,5.5,5.6,5.8,5.3
Manitoba,Chained (2007) dollars,Support activities for agriculture and forestry [115],75.1,91.3,103.7,102,111.5
Manitoba,Chained (2007) dollars,Oil and gas extraction [211],1171.5,1130.3,1110.4,983.9,924.3
Manitoba,Chained (2007) dollars,Mining and quarrying (except oil and gas) [212],1526.1,1486.2,1483.6,1537.3,1515.2
Manitoba,Chained (2007) dollars,Support activities for mining and oil and gas extraction [213],119.8,120.9,92.6,75,88.1
Manitoba,Chained (2007) dollars,"Electric power generation, transmission and distribution [2211]",1430.6,1446.7,1484.8,1524.7,1520.4
Manitoba,Chained (2007) dollars,"Natural gas distribution, water, sewage and other systems [221A]  (19)",193.2,203.1,189.4,195.2,206.8
Manitoba,Chained (2007) dollars,Residential building construction [23A]  (20),1154,1169,1099.1,1098.9,1218.2
Manitoba,Chained (2007) dollars,Non-residential building construction [23B]  (20),586.8,658.4,625,595.6,650.1
Manitoba,Chained (2007) dollars,Engineering construction [23C]  (20),1146.9,1320.2,1392,1597.6,1721.7
Manitoba,Chained (2007) dollars,Repair construction [23D]  (20),799,858,885.4,897.2,932.4
Manitoba,Chained (2007) dollars,Other activities of the construction industry [23E]  (20),60.1,65.4,66.6,70.7,76.7
Manitoba,Chained (2007) dollars,Food manufacturing [311],1182.4,1177.2,1006.2,1068.6,1093.1
Manitoba,Chained (2007) dollars,Beverage and tobacco product manufacturing [312],94.4,85.9,88.6,72.2,72.4
Manitoba,Chained (2007) dollars,Textile and textile product mills [31A]  (23),16.4,16.9,14.7,12.3,14.3
Manitoba,Chained (2007) dollars,Clothing and leather and allied product manufacturing [31B]  (24),81.2,108.1,99.2,114,128
Manitoba,Chained (2007) dollars,Wood product manufacturing [321],156.4,135,130.4,141.7,137.7
Manitoba,Chained (2007) dollars,Paper manufacturing [322],105.8,112.1,113.8,110.9,113
Manitoba,Chained (2007) dollars,Printing and related support activities [323],219,253.2,262.1,275.1,289.8
Manitoba,Chained (2007) dollars,Petroleum and coal product manufacturing [324],9.8,9.4,10.4,10.6,10.2
Manitoba,Chained (2007) dollars,Chemical manufacturing [325],364.7,388.8,458.2,487.9,506.1
Manitoba,Chained (2007) dollars,Plastics and rubber products manufacturing [326],308.9,328.1,337.4,341.7,363.5
Manitoba,Chained (2007) dollars,Non-metallic mineral product manufacturing [327],112.9,109.1,104.1,109.5,117.4
Manitoba,Chained (2007) dollars,Primary metal manufacturing [331],356.9,369.7,349.2,330.3,303.3
Manitoba,Chained (2007) dollars,Fabricated metal product manufacturing [332],335.9,340.6,291.3,289.7,308.7
Manitoba,Chained (2007) dollars,Machinery manufacturing [333],689.4,705.1,587.9,564.3,606.4
Manitoba,Chained (2007) dollars,Computer and electronic product manufacturing [334],108.7,106.8,95.9,103.3,78.4
Manitoba,Chained (2007) dollars,"Electrical equipment, appliance and component manufacturing [335]",83.9,68.7,69.6,66.3,72.8
Manitoba,Chained (2007) dollars,Transportation equipment manufacturing [336],765.9,782.7,843.2,820,827
Manitoba,Chained (2007) dollars,Furniture and related product manufacturing [337],253.3,260.6,286.8,274.8,271.1
Manitoba,Chained (2007) dollars,Miscellaneous manufacturing [339],214.3,172.4,173.8,182.7,152.3
Manitoba,Chained (2007) dollars,Farm product wholesaler-distributors [411],368.6,482.7,457.2,440.2,462
Manitoba,Chained (2007) dollars,Petroleum product wholesaler-distributors [412],153.3,126.3,127.3,131.8,144.1
Manitoba,Chained (2007) dollars,"Food, beverage and tobacco wholesaler-distributors [413]",339.9,337.4,328.3,323.7,348.5
Manitoba,Chained (2007) dollars,Personal and household goods wholesaler-distributors [414],231,254.8,267.3,246.5,241.7
Manitoba,Chained (2007) dollars,Motor vehicle and parts wholesaler-distributors [415],232.1,229.5,237.4,217.9,233.6
Manitoba,Chained (2007) dollars,Building material and supplies wholesaler-distributors [416],420.1,453.8,474.2,512.4,534.3
Manitoba,Chained (2007) dollars,"Machinery, equipment and supplies wholesaler-distributors [417]",760.2,767.6,743.7,742.3,805.4
Manitoba,Chained (2007) dollars,Miscellaneous wholesaler-distributors [418],464.5,668.9,711.5,772,798.3
Manitoba,Chained (2007) dollars,"Wholesale electronic markets, and agents and brokers [419]",51.6,48.1,48,48.4,50.2
Manitoba,Chained (2007) dollars,Motor vehicle and parts dealers [441],539.6,552.3,571.5,588.1,630.1
Manitoba,Chained (2007) dollars,Furniture and home furnishings stores [442],127.8,116.5,120.2,119.7,118
Manitoba,Chained (2007) dollars,Electronics and appliance stores [443],123.6,132.2,128.2,132.9,149.1
Manitoba,Chained (2007) dollars,Building material and garden equipment and supplies dealers [444],192.5,201.3,198.3,195.6,211.9
Manitoba,Chained (2007) dollars,Food and beverage stores [445],691.6,640.3,625.1,625.9,657.8
Manitoba,Chained (2007) dollars,Health and personal care stores [446],291.8,306.5,353.4,399.8,377.6
Manitoba,Chained (2007) dollars,Gasoline stations [447],185.6,173.3,173.1,185.6,193.9
Manitoba,Chained (2007) dollars,Clothing and clothing accessories stores [448],229.9,226.8,233.6,241,263.9
Manitoba,Chained (2007) dollars,"Sporting goods, hobby, book and music stores [451]",103.2,102.1,107.7,110.4,110.3
Manitoba,Chained (2007) dollars,General merchandise stores [452],332.8,345.5,341,339.1,351.3
Manitoba,Chained (2007) dollars,Miscellaneous store retailers [453],95.1,103.7,108.1,115.6,118
Manitoba,Chained (2007) dollars,Non-store retailers [454],117.9,114.7,107.3,119.7,125.9
Manitoba,Chained (2007) dollars,Air transportation [481],266.4,280.9,304.7,337.1,367.6
Manitoba,Chained (2007) dollars,Rail transportation [482],629.6,750.2,744,724.6,788.8
Manitoba,Chained (2007) dollars,Water transportation [483],3.9,4.1,4.2,4.2,4.4
Manitoba,Chained (2007) dollars,Truck transportation [484],1099.2,1111.2,1134.6,1177.4,1191.6
Manitoba,Chained (2007) dollars,"Transit, ground passenger and scenic and sightseeing transportation [48Z]  (31)",146.8,148,142,140.5,144.6
Manitoba,Chained (2007) dollars,Support activities for transportation [488],490.4,511.7,523,554.8,579.2
Manitoba,Chained (2007) dollars,Pipeline transportation [486],335.6,381.8,401.5,421,440.7
Manitoba,Chained (2007) dollars,"Postal service, couriers and messengers [49A]  (34)",224.5,221.1,221.7,219.3,225.7
Manitoba,Chained (2007) dollars,Warehousing and storage [493],110.3,103.9,99.6,96.2,102.3
Manitoba,Chained (2007) dollars,Publishing industries (except internet) [511],198.3,187.2,168.9,164.6,156.2
Manitoba,Chained (2007) dollars,Motion picture and sound recording industries [512],32.2,41.6,43.7,46.5,46.2
Manitoba,Chained (2007) dollars,Broadcasting (except internet) [515],147.8,142.6,137.3,128.8,122.8
Manitoba,Chained (2007) dollars,Telecommunications [517],1112,1102.4,1111.2,1118.8,1128.6
Manitoba,Chained (2007) dollars,"Data processing, hosting, and related services [518]",17.7,20.9,20.5,18.9,20.2
Manitoba,Chained (2007) dollars,Other information services [519],23.6,28.1,33,32.1,29.1
Manitoba,Chained (2007) dollars,Depository credit intermediation and monetary authorities [52B]  (37),1270,1280.5,1358.6,1386.6,1402.2
Manitoba,Chained (2007) dollars,Non-depository credit intermediation [5222],125.7,122.5,131.5,142.1,150.2
Manitoba,Chained (2007) dollars,Activities related to credit intermediation [5223],29,28.7,29,27.2,22.9
Manitoba,Chained (2007) dollars,Insurance carriers and related activities [524],896.8,880.7,905.6,948.9,934
Manitoba,Chained (2007) dollars,"Financial investment services, funds and other financial vehicles [52A]  (39)",687.5,713.1,737.4,772.8,796.3
Manitoba,Chained (2007) dollars,Real estate [531],6015.7,6231.8,6445,6636.9,6828.5
Manitoba,Chained (2007) dollars,Rental and leasing services [532],190.2,198,216.3,213.1,225
Manitoba,Chained (2007) dollars,Lessors of non-financial intangible assets (except copyrighted works) [533],29.6,27.4,26.7,27.5,28.7
Manitoba,Chained (2007) dollars,"Legal, accounting and related services [541A]  (44)",508.6,530.5,542.5,537.5,536.5
Manitoba,Chained (2007) dollars,"Architectural, engineering and related services [5413]",376.2,430.8,475.9,456.1,455.1
Manitoba,Chained (2007) dollars,"Other professional, scientific and technical services including scientific research and development [541B]  (45)",431.3,415,432,470.5,486.8
Manitoba,Chained (2007) dollars,Computer systems design and related services [5415],287.9,284.1,260.6,251.5,275.7
Manitoba,Chained (2007) dollars,"Advertising, public relations, and related services [5418]",54.3,54.5,51.1,53.6,52.4
Manitoba,Chained (2007) dollars,Administrative and support services [561],703.8,714,732.5,726.9,732.2
Manitoba,Chained (2007) dollars,Waste management and remediation services [562],154.6,163.9,154.8,156.4,148.9
Manitoba,Chained (2007) dollars,Universities [6113],964.4,1002.2,1026.9,1063.4,1071.6
Manitoba,Chained (2007) dollars,Educational services (except universities) [611B]  (47),1931.9,1971.3,1980,1995.9,2027.3
Manitoba,Chained (2007) dollars,Health care [62X]  (49),3863.5,3872.3,3920.3,3980.8,4056
Manitoba,Chained (2007) dollars,Social assistance [624],401.2,418.2,437.3,458.8,484
Manitoba,Chained (2007) dollars,"Performing arts, spectator sports and related industries, and heritage institutions [71A]  (51)",170.5,188.1,192.1,191.5,197.1
Manitoba,Chained (2007) dollars,"Amusement, gambling and recreation industries [713]",180.9,191.8,210.5,224.3,230.1
Manitoba,Chained (2007) dollars,Accommodation services [721],376.5,386.6,389,400.8,414.9
Manitoba,Chained (2007) dollars,Food services and drinking places [722],599.3,639.4,656.6,685.5,700.5
Manitoba,Chained (2007) dollars,Repair and maintenance [811],371.3,407.7,410.6,423,421.6
Manitoba,Chained (2007) dollars,Personal services and private households [81A]  (55),230.5,227.8,231,232.7,237.9
Manitoba,Chained (2007) dollars,"Religious, grant-making, civic, and professional and similar organizations [813]",343.6,381.7,380.4,382,384.7
Manitoba,Chained (2007) dollars,Federal government public administration [911],1463.9,1413.4,1388.9,1376.8,1397.7
Manitoba,Chained (2007) dollars,Provincial and territorial public administration [912],1280.2,1241.4,1233.8,1267.1,1253.2
Manitoba,Chained (2007) dollars,"Local, municipal, regional and aboriginal public administration [91A]  (59)",1521.1,1538.1,1580.6,1623.2,1679.9
Saskatchewan,Chained (2007) dollars,"Information and communication technology, manufacturing [T014]  (10)",103.6,94.6,110.5,110.8,87.5
Saskatchewan,Chained (2007) dollars,"Information and communication technology, services [T015]  (11)",1327.1,1374.5,1367.3,1380.2,1427
Saskatchewan,Chained (2007) dollars,Crop and animal production [11A]  (13),4355.8,3450.4,3653.5,3992.4,3896
Saskatchewan,Chained (2007) dollars,Forestry and logging [113],33.6,37.9,40.7,44.3,49.1
Saskatchewan,Chained (2007) dollars,"Fishing, hunting and trapping [114]",0.9,0.9,0.9,0.9,0.9
Saskatchewan,Chained (2007) dollars,Support activities for agriculture and forestry [115],169.2,165.7,180,179,186.7
Saskatchewan,Chained (2007) dollars,Oil and gas extraction [211],8391.7,9098.3,8957.7,8614.2,9095
Saskatchewan,Chained (2007) dollars,Mining and quarrying (except oil and gas) [212],2350.9,2566.5,2895.2,2864.9,3054.6
Saskatchewan,Chained (2007) dollars,Support activities for mining and oil and gas extraction [213],1128.1,1142.7,748.4,609.1,789.9
Saskatchewan,Chained (2007) dollars,"Electric power generation, transmission and distribution [2211]",933.3,960.9,988.9,1017.5,1064.8
Saskatchewan,Chained (2007) dollars,"Natural gas distribution, water, sewage and other systems [221A]  (19)",286.9,267.9,282.1,273.6,294.3
Saskatchewan,Chained (2007) dollars,Residential building construction [23A]  (20),1433.5,1437.7,1240.8,1115.7,1095.8
Saskatchewan,Chained (2007) dollars,Non-residential building construction [23B]  (20),676.2,627,708.9,785.7,671.7
Saskatchewan,Chained (2007) dollars,Engineering construction [23C]  (20),2420.8,2625.6,1756.6,1357.7,1289.8
Saskatchewan,Chained (2007) dollars,Repair construction [23D]  (20),848.9,942.3,1071.3,1100.6,1187.5
Saskatchewan,Chained (2007) dollars,Other activities of the construction industry [23E]  (20),37.4,39.8,28.9,23.8,22.2
Saskatchewan,Chained (2007) dollars,Food manufacturing [311],946,924.1,1026.3,1248.6,1348
Saskatchewan,Chained (2007) dollars,Beverage and tobacco product manufacturing [312],16.8,17.2,19.9,20.9,19.5
Saskatchewan,Chained (2007) dollars,Textile and textile product mills [31A]  (23),29.6,30.8,27.9,27.4,30.4
Saskatchewan,Chained (2007) dollars,Clothing and leather and allied product manufacturing [31B]  (24),14.6,5.8,3.3,2.9,3.4
Saskatchewan,Chained (2007) dollars,Wood product manufacturing [321],144.3,172.6,194.2,224.3,255.3
Saskatchewan,Chained (2007) dollars,Paper manufacturing [322],29.3,32.9,28.4,36.7,39.1
Saskatchewan,Chained (2007) dollars,Printing and related support activities [323],47.9,46.9,43.4,35.8,33.1
Saskatchewan,Chained (2007) dollars,Petroleum and coal product manufacturing [324],513,538.7,594.5,567.5,536.2
Saskatchewan,Chained (2007) dollars,Chemical manufacturing [325],289.6,330.8,323.2,328.2,401.7
Saskatchewan,Chained (2007) dollars,Plastics and rubber products manufacturing [326],33.5,40.9,36.9,31.4,33.9
Saskatchewan,Chained (2007) dollars,Non-metallic mineral product manufacturing [327],114.8,103.3,104.2,107.8,102
Saskatchewan,Chained (2007) dollars,Primary metal manufacturing [331],402.8,413.9,326,259,296.6
Saskatchewan,Chained (2007) dollars,Fabricated metal product manufacturing [332],397.6,377.1,306.9,294.5,292.1
Saskatchewan,Chained (2007) dollars,Machinery manufacturing [333],644.4,619.3,473.2,453.6,526.9
Saskatchewan,Chained (2007) dollars,Computer and electronic product manufacturing [334],104,95.8,110.7,109.7,86.2
Saskatchewan,Chained (2007) dollars,"Electrical equipment, appliance and component manufacturing [335]",53.1,52,64.5,59.8,57
Saskatchewan,Chained (2007) dollars,Transportation equipment manufacturing [336],116.8,133.6,110.6,90.3,121.1
Saskatchewan,Chained (2007) dollars,Furniture and related product manufacturing [337],63.9,62.4,62,62.3,59.8
Saskatchewan,Chained (2007) dollars,Miscellaneous manufacturing [339],37.9,46.5,45.5,46.7,47.8
Saskatchewan,Chained (2007) dollars,Farm product wholesaler-distributors [411],131.7,147,160.4,148.5,159.5
Saskatchewan,Chained (2007) dollars,Petroleum product wholesaler-distributors [412],371.5,412.7,438.8,435.6,464.4
Saskatchewan,Chained (2007) dollars,"Food, beverage and tobacco wholesaler-distributors [413]",148.3,116.8,96.9,92.3,92.8
Saskatchewan,Chained (2007) dollars,Personal and household goods wholesaler-distributors [414],39.1,44.2,46.9,45.2,44.2
Saskatchewan,Chained (2007) dollars,Motor vehicle and parts wholesaler-distributors [415],214.9,233.9,220.6,184.4,197.9
Saskatchewan,Chained (2007) dollars,Building material and supplies wholesaler-distributors [416],453.9,425.9,394.2,419.8,414.8
Saskatchewan,Chained (2007) dollars,"Machinery, equipment and supplies wholesaler-distributors [417]",1207.3,1270.3,1181.1,1195.2,1324.5
Saskatchewan,Chained (2007) dollars,Miscellaneous wholesaler-distributors [418],782.3,841.7,921.1,833.1,855.9
Saskatchewan,Chained (2007) dollars,"Wholesale electronic markets, and agents and brokers [419]",71,65,62,60.2,63.8
Saskatchewan,Chained (2007) dollars,Motor vehicle and parts dealers [441],668.7,668.1,632.2,615,657.3
Saskatchewan,Chained (2007) dollars,Furniture and home furnishings stores [442],104,106.6,104.1,109.6,97.8
Saskatchewan,Chained (2007) dollars,Electronics and appliance stores [443],111.2,121.2,117.3,114.2,111.5
