"Table 379-0030 Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), provinces and territories, annual (dollars x 1,000,000)(1,2,60,63,64)",,,,,,,
Survey or program details:,,,,,,,
Gross Domestic Product by Industry - Provincial and Territorial (Annual) - 1303,,,,,,,
Geography,Value,North American Industry Classification System (NAICS),2013,2014,2015,2016,2017
Prince Edward Island,Chained (2007) dollars,Miscellaneous wholesaler-distributors [418],9.8,11.9,13.1,13.2,12
Prince Edward Island,Chained (2007) dollars,"Wholesale electronic markets, and agents and brokers [419]",2,3.3,3.4,3.4,3.5
Prince Edward Island,Chained (2007) dollars,Motor vehicle and parts dealers [441],45.1,44.1,48.6,53.7,58.4
Prince Edward Island,Chained (2007) dollars,Furniture and home furnishings stores [442],6,7,6.9,7.7,8.3
Prince Edward Island,Chained (2007) dollars,Electronics and appliance stores [443],9.5,9.8,9.3,8.8,9.6
Prince Edward Island,Chained (2007) dollars,Building material and garden equipment and supplies dealers [444],30.5,30.8,32.7,33.3,35.2
Prince Edward Island,Chained (2007) dollars,Food and beverage stores [445],88,89.1,86.1,85.3,87.6
Prince Edward Island,Chained (2007) dollars,Health and personal care stores [446],28.2,29,29.2,30.2,31.5
Prince Edward Island,Chained (2007) dollars,Gasoline stations [447],16,15.7,16.1,17.2,17.9
Prince Edward Island,Chained (2007) dollars,Clothing and clothing accessories stores [448],23.2,22.1,21.8,23,24.8
Prince Edward Island,Chained (2007) dollars,"Sporting goods, hobby, book and music stores [451]",11.2,8.9,10.4,10.7,10.5
Prince Edward Island,Chained (2007) dollars,General merchandise stores [452],27.5,28.6,29.7,30.8,32.6
Prince Edward Island,Chained (2007) dollars,Miscellaneous store retailers [453],13.5,14.4,14.1,15.7,15.2
Prince Edward Island,Chained (2007) dollars,Non-store retailers [454],24.9,25.4,29.6,31,34.9
Prince Edward Island,Chained (2007) dollars,Air transportation [481],2.8,3,3.3,3.9,4.2
Prince Edward Island,Chained (2007) dollars,Rail transportation [482],0,0,0,0,0
Prince Edward Island,Chained (2007) dollars,Water transportation [483],8.9,9.5,9.9,10,11.3
Prince Edward Island,Chained (2007) dollars,Truck transportation [484],54.9,60.7,63.3,65.6,69.5
Prince Edward Island,Chained (2007) dollars,"Transit, ground passenger and scenic and sightseeing transportation [48Z]  (31)",4.3,4.1,4.6,4.7,4.8
Prince Edward Island,Chained (2007) dollars,Support activities for transportation [488],19.8,21.3,22.3,23.9,24.1
Prince Edward Island,Chained (2007) dollars,Pipeline transportation [486],0,0,0,0,0
Prince Edward Island,Chained (2007) dollars,"Postal service, couriers and messengers [49A]  (34)",25.2,24.7,23.4,21.6,22.2
Prince Edward Island,Chained (2007) dollars,Warehousing and storage [493],4.2,4.3,4.4,4.9,4.8
Prince Edward Island,Chained (2007) dollars,Publishing industries (except internet) [511],17.8,18.5,17.8,18.2,18
Prince Edward Island,Chained (2007) dollars,Motion picture and sound recording industries [512],2.6,3.1,2.9,2.9,2.9
Prince Edward Island,Chained (2007) dollars,Broadcasting (except internet) [515],9.6,9.4,9.2,9.5,8.8
Prince Edward Island,Chained (2007) dollars,Telecommunications [517],95.8,98.4,98.2,99,100
Prince Edward Island,Chained (2007) dollars,"Data processing, hosting, and related services [518]",0.7,0.7,0.6,0.7,0.6
Prince Edward Island,Chained (2007) dollars,Other information services [519],4.4,3.7,3.7,3.4,3.4
Prince Edward Island,Chained (2007) dollars,Depository credit intermediation and monetary authorities [52B]  (37),126.6,127.1,130.5,134.6,137.4
Prince Edward Island,Chained (2007) dollars,Non-depository credit intermediation [5222],14.4,15.9,17.3,18.8,21.2
Prince Edward Island,Chained (2007) dollars,Activities related to credit intermediation [5223],2,2.1,2.3,2.1,2.4
Prince Edward Island,Chained (2007) dollars,Insurance carriers and related activities [524],67.6,64.5,65.7,67.3,64.7
Prince Edward Island,Chained (2007) dollars,"Financial investment services, funds and other financial vehicles [52A]  (39)",32.3,35.4,36.2,38,39.3
Prince Edward Island,Chained (2007) dollars,Real estate [531],618.6,633,651.5,671.5,690.7
Prince Edward Island,Chained (2007) dollars,Rental and leasing services [532],16.1,15.8,15.8,16.4,17.8
Prince Edward Island,Chained (2007) dollars,Lessors of non-financial intangible assets (except copyrighted works) [533],0,0,0,0,0
Prince Edward Island,Chained (2007) dollars,"Legal, accounting and related services [541A]  (44)",41.4,42.2,45.5,47.5,47.5
Prince Edward Island,Chained (2007) dollars,"Architectural, engineering and related services [5413]",17.5,17.6,20.8,19.6,21.2
Prince Edward Island,Chained (2007) dollars,"Other professional, scientific and technical services including scientific research and development [541B]  (45)",23.4,23,24.9,27.1,27.6
Prince Edward Island,Chained (2007) dollars,Computer systems design and related services [5415],29.8,32,35.3,37.6,38.9
Prince Edward Island,Chained (2007) dollars,"Advertising, public relations, and related services [5418]",1.9,1.6,1.6,1.9,1.9
Prince Edward Island,Chained (2007) dollars,Administrative and support services [561],120.2,119.9,116.8,113.4,110.3
Prince Edward Island,Chained (2007) dollars,Waste management and remediation services [562],11.2,11.7,11.5,11.4,11
Prince Edward Island,Chained (2007) dollars,Universities [6113],111.9,107.7,112.2,117.9,120.9
Prince Edward Island,Chained (2007) dollars,Educational services (except universities) [611B]  (47),222.7,224.6,224.7,223.4,227.3
Prince Edward Island,Chained (2007) dollars,Health care [62X]  (49),364.3,364.6,366.4,374.5,378.1
Prince Edward Island,Chained (2007) dollars,Social assistance [624],55.1,59.5,61.7,64.8,67.2
Prince Edward Island,Chained (2007) dollars,"Performing arts, spectator sports and related industries, and heritage institutions [71A]  (51)",20.1,22.5,23,23.2,23.8
Prince Edward Island,Chained (2007) dollars,"Amusement, gambling and recreation industries [713]",29.8,27.9,30.1,29.5,30
Prince Edward Island,Chained (2007) dollars,Accommodation services [721],48.8,49.7,51.3,53.5,56.3
Prince Edward Island,Chained (2007) dollars,Food services and drinking places [722],90.7,94.1,94.7,96.9,100.3
Prince Edward Island,Chained (2007) dollars,Repair and maintenance [811],37.9,39.5,39.6,41,42.3
Prince Edward Island,Chained (2007) dollars,Personal services and private households [81A]  (55),31.6,31.6,31.7,32.3,33
Prince Edward Island,Chained (2007) dollars,"Religious, grant-making, civic, and professional and similar organizations [813]",33.3,33.2,31.2,32,33.1
Prince Edward Island,Chained (2007) dollars,Federal government public administration [911],326.7,318.9,324.2,334.3,337.7
Prince Edward Island,Chained (2007) dollars,Provincial and territorial public administration [912],224.4,219.3,212.3,215.3,217.6
Prince Edward Island,Chained (2007) dollars,"Local, municipal, regional and aboriginal public administration [91A]  (59)",67,64.2,64.5,66,68.7
Nova Scotia,Chained (2007) dollars,"Information and communication technology, manufacturing [T014]  (10)",30.2,32.9,28.8,29.2,29.6
Nova Scotia,Chained (2007) dollars,"Information and communication technology, services [T015]  (11)",1186.3,1250,1275.3,1305.7,1361.8
Nova Scotia,Chained (2007) dollars,Crop and animal production [11A]  (13),258.7,235.3,253.3,248.9,245.7
Nova Scotia,Chained (2007) dollars,Forestry and logging [113],55.4,63.8,64.7,62.5,59.4
Nova Scotia,Chained (2007) dollars,"Fishing, hunting and trapping [114]",429.6,478.6,458.5,417.3,401.6
Nova Scotia,Chained (2007) dollars,Support activities for agriculture and forestry [115],49.8,47.7,54.5,51.5,51.6
Nova Scotia,Chained (2007) dollars,Oil and gas extraction [211],393.2,736.1,538.8,568.2,278.3
Nova Scotia,Chained (2007) dollars,Mining and quarrying (except oil and gas) [212],78.3,81.4,88.9,80.6,117.1
Nova Scotia,Chained (2007) dollars,Support activities for mining and oil and gas extraction [213],72.9,83.5,70.1,51.8,54.7
Nova Scotia,Chained (2007) dollars,"Electric power generation, transmission and distribution [2211]",518.7,516.7,503.4,494.2,489.8
Nova Scotia,Chained (2007) dollars,"Natural gas distribution, water, sewage and other systems [221A]  (19)",67.9,71.3,71.7,71.6,75
Nova Scotia,Chained (2007) dollars,Residential building construction [23A]  (20),591.2,531.1,556.4,580.2,608.5
Nova Scotia,Chained (2007) dollars,Non-residential building construction [23B]  (20),352.9,312.9,292.6,259.5,238.6
Nova Scotia,Chained (2007) dollars,Engineering construction [23C]  (20),377.5,385.7,461.2,611.6,636.8
Nova Scotia,Chained (2007) dollars,Repair construction [23D]  (20),357.4,360.1,379,381.2,393.2
Nova Scotia,Chained (2007) dollars,Other activities of the construction industry [23E]  (20),29.7,31.5,33.2,35.1,35.6
Nova Scotia,Chained (2007) dollars,Food manufacturing [311],499.7,525.9,538,532.2,520.5
Nova Scotia,Chained (2007) dollars,Beverage and tobacco product manufacturing [312],54.1,46,46.7,48.4,52.1
Nova Scotia,Chained (2007) dollars,Textile and textile product mills [31A]  (23),40.5,43,42.9,37.1,35.7
Nova Scotia,Chained (2007) dollars,Clothing and leather and allied product manufacturing [31B]  (24),34.5,29.5,26,24.5,27.8
Nova Scotia,Chained (2007) dollars,Wood product manufacturing [321],159.2,169.8,178.7,197.2,191.5
